property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,host_has_profile_pic,host_response_rate,instant_bookable,name,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds,price
Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",5,1,Real Bed,strict,TRUE,LA,"Cozy & serene apartment on the Venice Canals~ 1 bedroom 1 bath plus private studio bedroom & a day bed in living room. Comes with parking spot & canal access. A/C, hardwood floors, full kitchen, TV, cable, Wi-fi,  easy walk to the beach & A.K. Blvd! We look forward to welcoming you to the Jasmine Bungalow on the tranquil Venice Canals, the best area to stay on the Westside of LA....worlds away from crazy Venice Beach, but yet ever so close. A block & a half walking to Venice Beach, crazy Venice Boardwalk, beautiful Venice Pier & trendy Abbot Kinney, this is an original bungalow built in 1950 yet renovated extensively with all the comforts of modern conveniences. Situated on what 'they' say is the most beautiful canal due to its mature trees, the house is tucked in where the canal connects with Eastern Canal. Other than the occasional duck or cat fight, you will sleep peacefully at night as there is no through traffic ~ a rarity in LA! The apartment is the self-contained alley access un",TRUE,1,FALSE,Canals Jasmine Bungalow + Studio,4,93,90291,2,3,375.00000000000057
Dorm,Shared room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",16,4,Real Bed,strict,FALSE,LA,"If you like our other co-living spaces across LA then get ready for PodShare Venice!!!! Free parking, HUGE yard, co-working space, computers, lockers, bicycles and the custom built pods you love! One block from Abbot Kinney! 15 minute walk to the beach! Venice Canals are 2 blocks away. We have full court basketball, volleyball, soccer, hammock, outdoor seating, 2 kitchens and lockers to share.",TRUE,0.95,TRUE,Venice PodShare (shared affordable co-living),0,NA,90291,1,1,50.00000000000004
Bed & Breakfast,Private room,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,""Pets live on this property"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",3,1,Real Bed,flexible,FALSE,LA,Bikes. Privacy. Kitchen cable and more Nice big master bedroon with private bathroom..bunk beds cable fantastic view..bikes scooters fully stocked kitchen..playstation xbox. Full laundry on site..towels soap provided. I have a ten year old son..they can play with. Short skip or bikeride to beach...share this 5000 sq foot mansion ..family style We provide bikes...and limited car service..most use uber Quiet time after 930 pm..tvs ok..but the kitchen is closed at 9 pm. Guest must clean up after themselves,TRUE,0,FALSE,5 beachview blocks,0,NA,90292,1,2,78
Apartment,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Elevator in building"",Heating,Washer,Dryer,""Smoke detector"",""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",6,1,Real Bed,strict,TRUE,LA,"Our apartment is quiet, modern, and conveniently located within 5 minutes walking distance from: -Santa Monica beach -Santa Monica Pier -3rd Street Promenade -Palisades Park -Metro Expo line to downtown -Numerous bus stops  -Countless restaurants and stores We look forward to hosting you! Note: My flatmate WILL be present in his own room during your stay. He works a great deal and is usually at the office, so will not be around much. Our apartment is in a light, breezy location only a few blocks to the beach and the buzz of Santa Monica. You will be close enough to the action, yet far away enough to rest, relax and get away. During your stay, you will have access to: -Private bedroom -Bedroom's own private attached bathroom You will also have free access to: -Living room -Balcony -Kitchen (featuring: refrigerator, stove, microwave, and dishwasher) -Washer/dryer in the unit. We can accommodate four people in my bedroom, with two on the queen bed and two on an air mattress. Due to my tra",TRUE,1,FALSE,Private room in SM! Walk to beach!,12,95,90401,1,3,150.00000000000009
Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",""Indoor fireplace"",Heating,Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,1,Real Bed,moderate,TRUE,LA,Amazing big unit with pool and huge gym on site. Pull out sofa with special pillow top for an extremely comfortable night sleep. There are 2 queen size beds (bedroom & pullout sofa).,TRUE,1,FALSE,half a mile from the beach,12,100,90292,1,2,125.00000000000004
Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Gym,Breakfast,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}",4,1,Real Bed,strict,TRUE,LA,Very nice studio in the edge of venice/marina Steps from the beach Fully furnished studio  Just bring your beach towel and enjoy Its a studio appartment with a murphy bed so the appartment have plenty of space. Pool and jaccuzy in the buildibg along with a gym. Litteraly accross the street from the closest beach Pool Gym  Jaccuzi Tennis court Basketball court... You can call me anytime i d be glad to help Extremely convinient and central for your commutes to the westside. LAX is 12 MIN AWAY,TRUE,1,FALSE,Ocean front studio Venice & Marina,22,92,90292,0,2,128.99999999999997
House,Entire home/apt,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}",4,1,Real Bed,moderate,TRUE,LA,"Newly renovated 1 BR Venice Beach guest house. Coffee Machine and all new furniture and bedding. Sleeps up to 4 with a queen bed and a fold out full size day bed. Ceiling fans. Dishwasher. There is the tail end of construction work at our neighbour's property. The times are generally between 9am and 4pm M-F but they never seem to work more for than 2 hours within that time frame. * If you are local LA or plan to book for one night in the middle of vacancies, please message us first * This is our one bedroom guest house with a full kitchen- including dishwasher and Nespresso machine- and bathroom in a quiet neighborhood in Venice Beach. All brand new furniture and brand new bed and mattress. The bedroom has a Queen sized bed with brand new organic mattress. New linens.  The living room has a dining table and chairs for 4 along with a CB2 Lubi Day Bed which easily becomes a comfortable sleeping place for 1 or 2 with all linens. We have a 45 inch smart TV in the living room and you can co",TRUE,1,FALSE,Venice Beach 1 BR Guest House,58,97,90291,1,2,89.99999999999967
Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}",2,1,Real Bed,strict,TRUE,LA,"This chic apartment features an mid-century style decor, a stunningly renovated kitchen, and a bright terrace. Located in Venice Beach, a quick walking distance from Abbot Kinney Blvd, Muscle Beach, and world-class restaurants and bars. Once you step inside this cool one bedroom we're sure you'll have found your happy place! This apartment features a cool open-plan design, where a sleek and modern kitchen transitions seamlessly into a calm and comfortable living room. After a day of exploring L.A. feel free to relax in your queen-size bed or on your terrace! During your stay with us you're guaranteed to have a whale of a good time.  Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay. Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to",TRUE,1,TRUE,Hip 1BR in Venice Beach,6,93,90291,1,1,74.00000000000003
House,Private room,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,""Fire extinguisher"",Essentials,Shampoo}",2,1,Real Bed,flexible,TRUE,LA,Ocean view. Very convenient location.  Very peaceful. Parking. Hiking. Close to Venice and santa monica.  Across the street from the beach. Incredible location. ,TRUE,0,FALSE,Pacific Palisades Beach house,0,NA,90291,1,1,119.99999999999997
Apartment,Entire home/apt,"{Internet,""Wireless Internet"",Kitchen,""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,flexible,FALSE,LA,"Close to the beach studio with charm and great neighbors. Can be noisy since it is located on a main thoroughfare. Very comfortable bed, but being so close to the beach you won't want to spend much time indoors! Free parking in nearby lot from 6pm-9am for easy overnight parking, otherwise it is street parking as available. Bikes may be available. Access to entire flat. Bicycles may be available for no extra charge on most dates if requested ahead of time. I will be in town and available if any questions or anything is needed. 2 blocks to Venice Beach and walking distance to quaint Abbott-Kinney and Santa Monica cafes, shops, nightlife. Public transportation widely available. Walking distance to beach,shopping and restaurants.",TRUE,1,FALSE,Fun beach flat,86,93,90291,0,1,150.00000000000009
Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Elevator in building"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Smartlock,""Private entrance""}",4,1,Real Bed,strict,TRUE,LA,"My apartment very close to Santa Monica pier,Santa Monica State Beach and very famous 3rd Street。I hope you live here just (EMAIL HIDDEN) apartment welcomes families,couples,travel enthusiasts,business people,students,visiting scholars. Bedrooms 1, Bathrooms 1, Sleeps 4 Walk to 3rd Street Promenade, Beach and Pier. Most central location walk everywhere. Marina Del Ray, walk to the Venice Beach area. This is a fully furnished suite 1 bedroom, 1 washroom in the heart of Los Angeles area. Best Shopping location as well Suite Details 1 Queen Bed And 1 Sofa Bed Provided Fresh Cotton Linens And Towels Provided Fully Equipped Kitchen With All Major Appliances Including Fridge, Stove, Oven And Dishwasher. Coffee Maker, Kettle, Toaster And Microwave Included High Speed Wireless Internet In-Suite Laundry Facilities All Utilities Included Individual Climate Controlled Heat/Ac All Wooden Floors Bathroom Equipped With Hair Dryer,shampoo, conditioner and shower gel Smoke And Heat Detectors In All Su",TRUE,1,TRUE,"Walk to 3rd St.,Santa Monica Beach,pier,Wilshire*3",4,95,90401,1,2,189.0000000000002
House,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox}",12,3,Real Bed,strict,TRUE,LA,"This amazing, modern artist's 5 bed private home in Venice Beach is your perfect getaway! You'll love the high ceilings, wide open spaces, and big windows opening up to the spacious back yard with unique art pieces. This comfortable house is just a mile from the world famous Venice Beach, and very close to Santa Monica Beach. This amazing, modern artist's 5 bed private home in Venice Beach is your perfect getaway! You'll love the high ceilings, wide open spaces, and big windows opening up to the spacious back yard with unique art pieces. This comfortable house is just a mile from the world famous Venice Beach, and very close to Santa Monica Beach. Downstairs is an open floor plan with a giant living room, featuring a big comfy couch, a pool table, a giant dinging room table, a chef's kitchen, and lots of big bright windows, opening up to your private yard.  Upstairs the master has a king bed, there are 2 bedrooms with queen beds, one bedroom with 2 twin beds, and downstairs there is an",TRUE,1,FALSE,Huge 5 Bed Artist's Home in Venice Beach w/ Yard!,30,93,90291,5,6,499.99999999999983
House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox,""Private entrance"",Bathtub}",10,4,Real Bed,strict,TRUE,LA,"This amazing architectural dream home is just 2 blocks to Venice Beach! It's beautifully furnished, spacious, with 3 bedrooms (with beds for 10!), 4 bathrooms, and a large private patio. You'll love staying in this comfortable home, steps from the sand, restaurants, shopping, etc. Walk in on the bottom floor the to living room with a large comfortable living space, beautifully furnished so you'll feel at home on your holiday. The kitchen and dining area are just off the living room. There is a  full bathroom with shower/tub combo off of the living room. Upstairs are 3 bedrooms and 3 bathrooms, both with queen beds and one with a pullout full sofabed, and the other with a twin trundle bed. The master has a king bed, and private bathroom. There are 2 parking spaces in the attached garage. Guests have access to the entire house, and 2 cars parking (tandem). Wifi, bed linens and towels are also included. I can meet guests when necessary, but guests are given self check in instructions and ",TRUE,0.97,FALSE,Architectural Venice Beach Dream House!,44,86,90291,3,5,475.00000000000085
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Gym,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",6,2,Real Bed,strict,TRUE,LA,"GREAT FOR ARTISTS, MUSICIANS OR PHOTOGRAPHERS! This 3000 square foot, Private Gated Residence, formerly the home of Eric Clapton, is 100 feet from the Sand and has an Ocean View, 25 Foot High Ceilings, 2 King Bedrooms + Loft Bed + Day Bed, 2 Baths. GREAT FOR ARTISTS, MUSICIANS OR PHOTOGRAPHERS! This 3000 square foot, Private Gated Residence, formerly the home of Eric Clapton, is 100 feet from the Sand and has an Ocean View, 25 Foot High Ceilings, 2 King Bedrooms + Loft Bed + Day Bed, 2 Baths, 600 sf Sun Deck w/Stainless Gas Grill, 400 sf Loft Office, Fully Equipped Kitchen with Garland Professional Range, High Speed Fibre-optic Wireless Internet, Monitored Security System, 2 Flat Screen HD TVs', Surround Sound System, VCR, DVD, Stereo, CD-player, Phone, Washer & Dryer, Surfboards, Rollerblades, Exercise Equipment, Bath & Bed Linens, Dining for 10, Coffeemaker/Grinder, Microwave, Blender, Vitamix, Hairdryer, Iron, Beach Towels, Beach Chairs, Snorkel Gear, 2 Bicycles, 2-car Garage Parkin",TRUE,1,FALSE,Eric Clapton's Venice Beach Loft,0,NA,90291,2,4,1200.0000000000011
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",Iron,""Self Check-In"",Keypad}",6,1,Real Bed,strict,TRUE,LA,"Cozy Cottage near the Ocean - 2 Bed. Family friendly. Detached 2 Bedroom + Convertible bed(s), 1 Bath, (Sleeps max 6)  Private Detached on a quiet street, Parking, Laundry, Wi-FI, HDTV's. BBQ, Deck. Fall asleep to the sound of the ocean. 2 Bedrooms Upstairs,1 Full Bath Downstairs, Sleeps 4, 6. Deluxe Queen sleeper couch and additional queen air bed which fits into bedroom 2 alcove. Fully Furnished Private Detached Beach Cottage on a quiet street. Right off the Beach and the Famous Venice Boardwalk! Bamboo Wood Floors throughout. Ceiling Fans and HDTV's in Both Bedrooms, with additional DVD player in One Bedroom. Black out curtains. Satelite HDTV/Netflix Capable Blu Ray/DVD/ in Living Room. Hi Speed Wi-Fi. Telephone. Four seat dining table. Fully Equipped Kitchen including a Juicer and 25 piece spice rack. Relax on the couch outside while barbecuing on the deck. Off street Private Parking for one vehicle included, with large capacity new washer and dryer very close to hand.  You can fal",TRUE,1,TRUE,"Cozy Venice 2bed,Steps to Boardwalk",24,91,90291,2,3,179.99999999999986
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}",6,2,Real Bed,strict,TRUE,LA,"This Venice Retreat is located walking distance to the beachs, 2 blocks to Abbot Kinney  Also 2 blocks to Main Street Santa Monica.. Master suite with ensuite bathroom! 2nd  bedroom downstairs with bath for ultimte privacy! Please do not attempt to enter the home prior to the agreed check in time. The keyless entry is programmed with your personal code and logs all entries and exits with a time stamp and submits them wirelessly. If you arrive in town early and would like to check the status of your retreat please call, text or email. If you enter the retreat prior to approved check in time your deposit will be forfeited.",TRUE,1,FALSE,"Walk to Beach , Abbot Kinney  2 level Venice Home",6,100,90291,2,3,195
Apartment,Private room,"{""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private living room""}",2,1,Real Bed,flexible,TRUE,LA,"My place is close to Cafes, Santa Monica College, Beach. You’ll love my place because of the ambiance, the neighborhood, the light, location. My place is good for couples, solo adventurers, and business travelers.",TRUE,1,FALSE,"Beautiful room near Beach, Venice & Santa Monica",1,100,90291,1,1,59.000000000000014
Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",2,1,Real Bed,moderate,TRUE,LA,"Situated right between Venice Canals and the beach, this large studio feels like a 1br! Enjoy the balcony, washer/dryer, dining area, wifi & cable, and chic decor. This spot is perfectly located between the beach and the famous Venice Canals.  You can smell the ocean and see the Canals from the balcony. It's just a short walk to each! We are almost always nearby to help – and are happy to get you what you need even when we're traveling. :) Lyft and Uber can get you everywhere.  There are buses and trains in LA, but everyone takes ride-sharing services. They're safe, affordable, and super convenient. The unit has a 48"" Smart TV enabled with Netflix for no charge – as well as cable service.  But really, we recommend you minimize TV watching. Go out to the beach – enjoy yourself in Venice!",TRUE,0.99,FALSE,Stylish Apt by the Canals [SPECIAL],110,90,90291,0,1,119.00000000000013
Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Gym,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad,""Private entrance""}",4,1,Real Bed,strict,TRUE,LA,"GREAT LOCATION! C Ocean from Garden! Immaculate Unit w/ NEW BED & COMFY Queen Sofa Sleeper in Living Room, Full Kitchen, Immaculately clean, laundry, free 100 MB WI-Fi & Net flixs, Parking is extra, centrally located to EVERYTHING! Golds Gym is 1 block. Stay 31 days instead of 30 and save 14% tax on your reservation. This  newly remodeled Modern building with it's sleek lines and modern lighting is just 2 minutes from everything you need Hip & trendy Abbott Kinney, Main Street, 3rd Street Promenade, 20 minutes  drive to Malibu.  Our spacious One Bedroom  faces the (SENSITIVE CONTENTS HIDDEN) BINOCULARS outside your  living room & kitchen windows  *The master suite boasts brand new hardwood floors. A Brand new queen size superior quality mattresses with finely pressed white  cotton linens and wood blinds and curtains. The living room sleeps 2 in a New Queen Sofa sleeper. One full bathroom with all modern fixtures. *The full sized modern kitchen with PURE WHITE Caesar Stone counter tops ",TRUE,1,FALSE,"New, Super clean, Great Location!~",53,96,90291,1,2,161.99999999999994
Loft,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,2.5,Real Bed,strict,TRUE,LA,"Live like a Venice local in this 2 bedroom artist's loft, 1 block away from the Venice boardwalk & beach.  Walking & biking distance to everything Venice & Santa Monica has to offer!   This 2 bedroom loft has a very open-air feel to it with electric garage doors and great natural light. The 1st level is the master bedroom/bath, 2nd level is the living room & fully equipped kitchen & the 3rd level loft has the 2nd bed & opens up to the top patio where you can enjoy slight ocean and city views! You will have full access to the loft including a parking space in the garage.  There is another unit attached to the building that shares the garage but you have private entrances with keys and the other unit is completely separate.  The loft is very private.  The washer and dryer for laundry is located in the garage. I live nearby and local to Venice and am happy to help with anything you may need.  I will absolutely respect your privacy at the loft and will be there to help as much or as little",TRUE,1,FALSE,Artist's loft 1 block from beach,8,100,90291,2,2,400.0000000000002
Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad,""Children’s books and toys"",""Table corner guards""}",7,2.5,Real Bed,strict,TRUE,LA,"Only 55 second walk to the sand of the beach of the Pacific Ocean! Spectacular fully equipped moderns style unit. 3 Bed room and 2.5 Bath, sleeps 7 people.   Unit is approximately 1600sq feet (150 square meter) in size. Fantastic unit, upscale area, close to Venice, Santa Monica & LAX.  2 (medium) car garage space (tandem) assigned to the unit during your stay. Let the sun warm you up!  Take off your shoes and let the sand of the Pacific ocean tickle your toes! - Sleeps up to 7 people - Access to ground level outdoor patio area - Extremely close to Pacific Ocean - Two car garage - Close to LAX - Two balconies - Full gourmet kitchen - Calm upscale safe area - Close to restaurants and Starbucks on Washington Detailed description: Only 45 second walk to the sand of the world famous sand of the Pacific Ocean.  Stunning 2nd level apartment:  3 bedrooms, 2 baths with two private balconies on each side of the unit. Please note that this is unit is on the 2nd floor and there is no elevator. As",TRUE,1,FALSE,Beachliving!  Sleeps 7 - Huge apt- 3 Bed 2.5Bath!!,22,96,90292,3,4,348.99999999999994
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",""Other pet(s)"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance""}",6,2,Real Bed,strict,TRUE,LA,"My Venice home, on a street near the canals, is an adorable 3 bedroom that includes an impressive art collection, unique decor, and a great backyard space with garden, barbecue, and Koi pond. You will feel right at home when you walk in the door! The open living area of my home begins with the frosted glass door entrance. You will me greeted by a heather-grey sofa and a dining table for four. At the back of the home, my kitchen has a bold and beautiful floral print accent wall. A backdoor will lead you out to the garden, where you will find a koi pond, water feature, and a space to lounge on the L-shaped seating or gather at the outdoor breakfast bar that is complete with a barbecue. The second door leads back inside to the second bedroom, which hosts a a queen-size bed that is patterned with red poppies. Walking down the hallway you will find the third bedroom which has a lime platform bed and shared bath. The master bedroom is the closest to the front of the house, where my Japanese ",TRUE,1,FALSE,3 br Venice home w/ gorgeous garden,0,NA,90291,3,3,499.99999999999983
Condominium,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades""}",2,1,Real Bed,flexible,TRUE,LA,"Minutes from the beach, Private bedroom and private full bath in condo offering 3 swimming pools, 10 tennis courts, a full gym (for a day fee or weekly fee), hair salon and a café that serves breakfast and lunch, 4star dining upstairs and roomservice.  Please do not ask me to have other guests spend the night.  It is uncomfortable and not allowed with Airbnb.  Aka, your babysitter, your girlfriend or boyfriend, friends from out of town.  It is ok with a mom or dad. Couple nights but long term. Comfortable, Quiet,  24 hour security.  Near Wonderful places to eat.  My place is perfect for corporate housing for companies traveling here, as well as vacations.  You can check it (EMAIL HIDDEN)  I will work with you with check in/check out.  I have specific times however if you would like a different time.  Please just let me know I will work with you. You may use the kitchen and sitting area in the dining room, You may also go on the balcony. Please when using the balcony if you eat out ther",TRUE,1,TRUE,Beautiful Room in Marina Del Rey CA,23,91,90292,1,1,94
Bungalow,Entire home/apt,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Hot tub"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self Check-In"",Lockbox,""Private entrance""}",3,1,Real Bed,strict,TRUE,LA,"Our private beach bungalow is located in one of the best locations in Venice just a block from the beach!  This is an idyllic indoor-outdoor getaway with hot tub and beach bikes for your use!  The Studio house has beautiful wood floors, comfortable bed, full kitchen and dining table, and large yard with HOT TUB, perfect for a relaxing getaway or for entertaining a small group! We are on Rose Ave where there is no shortage of restaurants, coffee shops, bars, and boutiques to choose from. Located just a block from famed Venice Beach, our charming studio + bathroom bungalow is perfectly situated to enjoy the best of the Los Angeles beach scene. We are on vibrant Rose Ave which features some of the area’s best restaurants, coffee shops, and boutiques.  Bedding:  Queen Bed Additional bedding available: Sofa bed + air mattress Sleeps: 3 comfortably (4 will be tight) Our home is fully furnished and very comfortable. The kitchen is stocked with everything you'll need: appliances, cookware, dis",TRUE,1,TRUE,The Private Hot Tub Studio + 2 Beach Cruiser Bikes,0,NA,90291,0,2,164.9999999999998
Bungalow,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",2,1,Real Bed,strict,TRUE,LA,"Serene bungalow less than two blocks to the sand, ocean and sun.  One bedroom one bathroom with washer and dryer in unit.  Full kitchen stocked with everything you need to prepare food at home and enjoy the patio and courtyard area to relax in. Charming Beach Bungalow with 1 Bedroom, 1 Bathroom in Marina Del Rey 1 1/2 blocks to the beach and 4 short blocks to Venice Pier and Washington Street where all your entertaining and dining needs are sure to be fulfilled.  There are coffee shops, restaurants and bars up and down Washington Street.  Take a nice walk up the Boardwalk to Venice Beach/Muscle Beach.    Watch the street performers and artists.  Tons of unique shopping and great shops for tourist gifts.  Anything you could want!!  Take a walk down Abbott Kinney.   In the unit there is a queen size bed,  2 flat screens with cable and wifi internet.  stackable washer/dryer.  Private patio to sit and enjoy a glass of wine or work on the computer in the sun.  Unit is fully stocked with eve",TRUE,1,FALSE,MARINA BEACH BUNGALOWS,150,98,90292,1,1,149
