fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6.4707207006867975
6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6.780844533350319
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8.082716837292537
6.7,0.31,0.3,2.1,0.038,18,130,0.9928,3.36,0.63,10.6,6.394517550244927
6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,5.095661407336593
6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1,6.13333323597908
5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,6.221126178046688
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7.274119541049004
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7.299059249693528
5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7.374786772532389
6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5.491452492540702
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5.878602623473853
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6.748729828745127
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5.955186023144051
8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,5.3319202130660415
6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5.824162796372548
6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7.13266538339667
6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4.124696853803471
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6.728109711781144
6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,7.54842082853429
6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4.608517412794754
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6.1229467005468905
6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5.8764346989337355
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5.842348815640435
7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,6.046237813541666
6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5.707018328597769
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6.534791055135429
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5.945457234047353
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5.912029979052022
7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5.455978516489267
8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5.7655204785987735
5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,7.50504457950592
6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4.2025484829209745
6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,6.717138722306117
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6.768076964421198
8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5.706377045251429
6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5.19162413617596
7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,6.297899801051244
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6.325131266377866
6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5.571876234840602
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5.882491525495425
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6.877103376435116
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6.3858525371178985
6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5.737772154854611
6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6.79631936410442
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7.7241614607628435
7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6.38543858891353
7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5.298152282601222
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7.05747115239501
7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,7.673692964250222
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5.197991926921532
6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5.625107899075374
6.9,0.31,0.34,1.6,0.032,23,128,0.9917,3.37,0.47,11.7,6.138182840542868
6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,8.373078520642594
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7.314089832827449
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,5.815184899838641
6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7.368318096967414
7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,5.439644126221538
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5.439058027463034
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5.601828285725787
6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6.403906936291605
6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,9.5,6.9583182809874415
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7.970767963677645
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6.914528023218736
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5.082873708335683
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6.476859610993415
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6.339135265909135
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5.673435813980177
7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,7.636485945200548
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6.859278114512563
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3.948284424841404
5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6.573967065894976
7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2,6.535269055515528
5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5.941694442881271
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5.892355152172968
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6.410306338686496
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6.050030747428536
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6.778269294649363
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6.925961389672011
7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6.377477207919583
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6.24492099462077
6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6.087635908508673
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6.391108496813104
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6.182561425259337
5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5.133624784648418
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7.2574629134032875
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5.55324704782106
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,6.148069276474416
7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7.962896824115887
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7.944522878853604
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6.992285794112831
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6.706210570642725
6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5.140778355766088
5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,6.008982624160126
6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,6.686495538568124
7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6.681218191748485
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5.917510882485658
6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6.408421214204282
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7.422439390094951
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7.537320081843063
6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7.413646463071927
6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3,7.097644658526406
6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,7.380267640342936
6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5.198000577511266
9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,9.725024226354435
6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6.011009040987119
8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6.918857760028914
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5.900228734128177
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7.754153864458203
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8.951921815052629
6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4.62558709224686
7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,6.655950521118939
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7.381375617580488
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8.065605635289103
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5.690880850423127
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6.1274838673416525
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6.291318518575281
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6.632220890838653
5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7.390023997751996
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6.070425659883767
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6.863572930917144
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7.385190207045525
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5.670760133769363
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7.021196302259341
7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5.595228760736063
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5.276241161162034
7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6.399126905016601
6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6.145815429510549
5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6.824081728467718
6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8.140409882646054
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6.909047515131533
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5.899924811441451
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5.192349253920838
6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,7.5322902637999505
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6.522124740527943
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6.16033573099412
6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5.519567017676309
6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,6.224503509234637
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6.281511990353465
6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6.5036875798832625
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5.158960648812354
6,0.41,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,6.920630739303306
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7.499029459664598
6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6.6153440771158785
7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6.743930876953527
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5.61681821080856
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5.930141045944765
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5.0803784660529345
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5.028121191076934
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5.541528468718752
6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9.241202568868175
7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6.64483752194792
6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5.377736799186096
6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6.04685368668288
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5.048140499275178
7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6.962842692388222
6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6.226466750493273
7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9.011393569642678
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7.218475638190284
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7.0559375686571
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6.234972146805376
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4.402696270029992
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8.0143044360447675
6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,6.361763168359175
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6.584499739808962
7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8.605793738272041
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8.263718613190576
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8.67514867708087
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8.935806215973571
7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7.003591406391934
7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7.786971174879
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7.806933146901429
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7.073038384551182
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7.56699930364266
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8.539190846029669
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8.137675155187026
6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5.276332648936659
9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5.3518435067962855
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7.812805236317217
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6.171541348099709
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7.5211620926856995
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5.764622842427343
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7.288755647372454
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5.436778316041455
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7.6694507577922195
7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7.036923782201484
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5.560646349098533
8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5.932383237173781
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7.434622491942719
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5.9362326168920845
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8.978302628034726
7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7.676762288669124
4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6.298268895363435
6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6.208253394579515
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5.318896428914741
6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6.854374968446791
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7.061059906845912
7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8.18204610561952
7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7.483836601022631
7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6.338283574208617
6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5.813362698070705
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5.870432480005547
6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6.019161278847605
10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3.8247481822036207
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5.401268495246768
7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7.672058288240805
6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9.118672215612605
6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6.476424339460209
6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6.925339963752776
6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,8.574839341687039
7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7.912751579657197
8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6.755301924189553
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6.630999924149364
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6.794420650461689
6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,6.923546462319791
6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7.164468809729442
7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6.192883944371715
6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7.097642665496096
7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6.829109395388514
6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7.805863957852125
5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6.279269986320287
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7.449029579060152
5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5.625878707272932
7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7.370921416208148
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7.38231894839555
5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6.91448087641038
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6.390297754667699
7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6.070293759461492
6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6.707506610779092
6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6.69299681391567
6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7.096147290198132
8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,6.036903229542077
6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5.400940120918676
5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6.01153722521849
6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8,8.567891015904024
8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4.944949925877154
8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4.3433021772652864
7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2,8.244498279877007
8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4.5416769774165004
7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5.117704377975315
6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,5.374908455181867
6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5.327511116862297
6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,5.9472057512030005
5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5.91057491232641
8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4.7624447154812515
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5.758074916200712
7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7.998490834375843
7.7,0.3,0.32,1.6,0.037,23,124,0.9919,2.93,0.33,11,6.580401404760778
7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6.213284181430936
8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,7.1335518984124064
7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7.792282316135243
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6.981905837310478
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6.982048792531714
6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6.125443475088105
7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,8.618285143980756
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5.858186804223806
5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5.139387535862625
6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7.366580521455035
6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5.157130227191374
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5.447839834261686
7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7.485874579288065
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5.9502030403818935
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6.904753880109638
5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5.940164701780304
6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5.773493236629292
6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5.092210985720158
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5.016243429621682
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5.333509586984292
6.2,0.35,0.29,7.3,0.044,56,244,0.9956,3.36,0.55,10,6.241853092331439
7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7.792070718249306
6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5.496387037681416
6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6.513879090314731
5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7.0724018786568195
6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,7.345139099750668
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7.756324941292405
6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7.3851190456189215
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5.006921039894223
8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5.718439230229706
6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4.556969332275912
7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5.070082626538351
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5.347816531080753
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6.413005554582924
6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6.311655198922381
8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5.737567968200892
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6.3883402838837355
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5.619424278149381
7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5.623541267821565
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7.802412331104279
