Category,PagePop,Checkins,TalkingAbout,CommentsBefore,CommentsFirst24,CharsInPost,NumShares,Promoted,DayOfWeek,Comments
Professional sports team,3032492,4584,114769,2,2,130,4,1,6,1
Professional sports team,3032492,4584,114769,161,131,114,609,0,5,8
Professional sports team,3032492,4584,114769,71,65,127,237,0,5,8
Professional sports team,3040489,2416,256293,59,59,133,82,0,6,12
Professional sports team,3040489,2416,256293,0,0,191,53,0,6,59
Professional sports team,3040489,2416,256293,0,0,142,43,0,4,64
Professional sports team,3040489,2416,256293,0,0,132,834,1,4,274
Entertainment website,3080001,1896,2379,0,0,40,275,1,4,15
Public figure,3090531,1,72072,89,89,14,2,0,6,70
Product/service,3094958,403,16582,17,17,142,60,0,5,3
Movie,3280313,1,39324,65,65,146,108,0,5,4
Outdoor gear/sporting goods,3316706,2842,9114,0,0,141,2,0,5,1
Outdoor gear/sporting goods,3316706,2842,9114,1,1,232,1,0,6,2
Non-profit organization,3337470,27805,11736,0,0,113,81,1,6,1
Non-profit organization,3337470,27805,11736,0,0,272,19,0,6,2
Movie,3396662,4,10568,42,42,161,1,1,4,6
Professional sports team,3544586,122388,227617,101,97,126,614,1,6,1
Professional sports team,3544586,122388,227617,82,73,78,115,0,6,1
Professional sports team,3544586,122388,227617,75,75,105,122,1,5,5
Professional sports team,3544586,122388,227617,0,0,73,45,0,6,10
Professional sports team,3544586,122388,227617,34,34,83,73,0,6,11
Professional sports team,3544586,122388,227617,34,34,90,94,0,6,12
Professional sports team,3544586,122388,227617,43,43,130,125,1,6,13
Professional sports team,3544586,122388,227617,64,64,163,249,1,4,21
Professional sports team,3544586,122388,227617,87,87,75,68,0,4,21
Professional sports team,3544586,122388,227617,46,46,94,209,0,7,27
Professional sports team,3544586,122388,227617,219,219,125,774,0,7,97
Professional sports team,3544586,122388,227617,898,898,61,561,0,5,158
Movie,3620541,1410,43400,186,186,216,930,0,4,37
Professional sports team,3680277,72983,126847,95,90,548,67,0,4,1
Professional sports team,3680277,72983,126847,65,65,104,31,0,6,1
Professional sports team,3680277,72983,126847,65,65,229,24,0,4,2
Professional sports team,3680277,72983,126847,83,75,120,61,0,4,2
Professional sports team,3680277,72983,126847,42,42,330,31,0,5,3
Professional sports team,3680277,72983,126847,47,47,42,41,0,5,3
Professional sports team,3680277,72983,126847,63,63,66,27,1,5,3
Professional sports team,3680277,72983,126847,69,69,578,116,0,4,6
Professional sports team,3680277,72983,126847,40,40,60,5,1,5,6
Professional sports team,3680277,72983,126847,57,57,228,149,1,5,7
Professional sports team,3680277,72983,126847,43,43,212,131,0,6,13
Professional sports team,3680277,72983,126847,268,244,232,870,0,4,14
Professional sports team,3680277,72983,126847,15,15,342,207,0,4,32
Professional sports team,3680277,72983,126847,106,106,396,93,0,6,48
Professional sports team,3739454,30262,29943,7,7,116,3,0,6,2
Professional sports team,3739454,30262,29943,35,35,231,31,1,6,10
Professional sports team,3739454,30262,29943,90,90,271,24,0,5,23
Professional sports team,4072194,880,161174,48,48,503,89,1,4,18
Professional sports team,4072194,880,161174,287,287,46,338,0,5,114
Company,4196949,3849,39394,7,7,0,2,0,4,1
Company,4196949,3849,39394,76,73,151,373,0,4,2
Company,4196949,3849,39394,5,5,205,38,0,6,3
Company,4196949,3849,39394,3,3,161,20,1,4,4
Company,4196949,3849,39394,14,14,238,11,1,5,4
Company,4196949,3849,39394,38,37,139,21,0,6,5
Company,4196949,3849,39394,0,0,144,116,0,7,26
Cars,4227754,1,78635,3,3,137,11,1,4,1
Cars,4227754,1,78635,3,3,119,3,0,6,1
Cars,4227754,1,78635,23,23,147,56,0,5,1
Cars,4227754,1,78635,9,9,139,3,0,5,1
Cars,4227754,1,78635,6,6,83,4,0,5,5
Cars,4227754,1,78635,1,1,138,12,0,4,5
Professional sports team,4253181,40,472926,90,90,251,210,0,5,16
Professional sports team,4253181,40,472926,278,278,189,499,0,6,61
Professional sports team,4253181,40,472926,97,97,33,2,0,7,69
Professional sports team,4253181,40,472926,1470,1470,283,131,0,6,309
Professional sports team,4290409,11,131422,57,57,166,25,1,5,1
Professional sports team,4290409,11,131422,17,17,148,2,0,6,2
Professional sports team,4290409,11,131422,24,24,172,18,0,6,4
Professional sports team,4290409,11,131422,56,55,135,20,0,6,5
Professional sports team,4290409,11,131422,93,89,148,70,1,6,10
Professional sports team,4290409,11,131422,54,54,781,108,0,6,17
Professional sports team,4290409,11,131422,34,34,180,26,0,7,23
Professional sports team,4290409,11,131422,63,63,166,89,0,7,25
Professional sports team,4290409,11,131422,103,103,123,59,0,6,25
Professional sports team,4290409,11,131422,22,22,190,18,0,6,29
Professional sports team,4290409,11,131422,141,141,81,630,1,6,32
Professional sports team,4290409,11,131422,87,87,203,37,0,6,40
Professional sports team,4290409,11,131422,0,0,184,1,0,4,59
Professional sports team,4290409,11,131422,90,90,602,337,1,5,60
Media/news/publishing,4377561,27,1508006,58,58,77,44,0,5,1
Media/news/publishing,4377561,27,1508006,121,115,76,58,0,5,1
Media/news/publishing,4377561,27,1508006,31,31,130,67,0,5,1
Media/news/publishing,4377561,27,1508006,64,58,358,272,1,5,1
Media/news/publishing,4377561,27,1508006,40,40,72,148,0,5,1
Media/news/publishing,4377561,27,1508006,24,23,68,68,1,5,1
Media/news/publishing,4377561,27,1508006,198,194,98,128,0,5,1
Media/news/publishing,4377561,27,1508006,55,55,110,59,1,6,1
Media/news/publishing,4377561,27,1508006,90,90,100,20,0,6,1
Media/news/publishing,4377561,27,1508006,290,277,73,28,0,5,1
Media/news/publishing,4377561,27,1508006,41,39,137,133,0,5,1
Media/news/publishing,4377561,27,1508006,189,185,84,46,0,5,1
Media/news/publishing,4377561,27,1508006,28,28,74,16,0,6,1
Media/news/publishing,4377561,27,1508006,28,28,70,51,0,5,2
Media/news/publishing,4377561,27,1508006,22,22,331,64,0,5,2
Media/news/publishing,4377561,27,1508006,414,394,72,41,1,5,2
Media/news/publishing,4377561,27,1508006,27,27,68,14,1,6,2
Media/news/publishing,4377561,27,1508006,341,316,176,19,0,5,2
Media/news/publishing,4377561,27,1508006,146,120,87,6,0,5,2
Media/news/publishing,4377561,27,1508006,36,36,404,28,0,5,2
Media/news/publishing,4377561,27,1508006,54,51,131,74,1,4,3
Media/news/publishing,4377561,27,1508006,22,22,86,42,1,5,3
Media/news/publishing,4377561,27,1508006,157,155,147,69,0,5,3
Media/news/publishing,4377561,27,1508006,427,402,73,126,0,5,3
Media/news/publishing,4377561,27,1508006,150,150,115,23,0,4,3
Media/news/publishing,4377561,27,1508006,46,45,59,114,0,5,3
Media/news/publishing,4377561,27,1508006,64,62,170,34,0,5,3
Media/news/publishing,4377561,27,1508006,62,62,71,106,0,6,3
Media/news/publishing,4377561,27,1508006,30,30,90,36,0,5,4
Media/news/publishing,4377561,27,1508006,53,52,72,14,1,6,4
Media/news/publishing,4377561,27,1508006,186,176,577,1650,0,5,4
Media/news/publishing,4377561,27,1508006,53,53,100,16,0,6,4
Media/news/publishing,4377561,27,1508006,98,98,63,120,0,6,4
Media/news/publishing,4377561,27,1508006,39,39,641,58,0,6,5
Media/news/publishing,4377561,27,1508006,82,76,104,443,0,5,5
Media/news/publishing,4377561,27,1508006,67,67,63,17,0,5,5
Media/news/publishing,4377561,27,1508006,26,26,395,223,1,7,5
Media/news/publishing,4377561,27,1508006,41,41,82,58,0,6,5
Media/news/publishing,4377561,27,1508006,52,52,71,84,0,5,5
Media/news/publishing,4377561,27,1508006,91,91,78,240,0,6,5
Media/news/publishing,4377561,27,1508006,108,106,90,29,0,5,6
Media/news/publishing,4377561,27,1508006,232,223,77,25,1,5,7
Media/news/publishing,4377561,27,1508006,30,30,48,434,0,6,7
Media/news/publishing,4377561,27,1508006,45,45,118,26,1,6,7
Media/news/publishing,4377561,27,1508006,81,81,91,57,0,5,7
Media/news/publishing,4377561,27,1508006,367,346,70,1232,1,5,7
Media/news/publishing,4377561,27,1508006,149,146,116,114,0,4,8
Media/news/publishing,4377561,27,1508006,233,221,100,353,0,4,8
Media/news/publishing,4377561,27,1508006,749,706,296,5333,1,5,8
Media/news/publishing,4377561,27,1508006,41,41,292,175,0,4,8
Media/news/publishing,4377561,27,1508006,133,113,623,2158,0,5,10
Media/news/publishing,4377561,27,1508006,183,161,162,1106,1,5,10
Media/news/publishing,4377561,27,1508006,45,45,358,60,1,6,10
Media/news/publishing,4377561,27,1508006,91,91,403,15,0,6,11
Media/news/publishing,4377561,27,1508006,124,121,56,914,1,5,12
Media/news/publishing,4377561,27,1508006,14,14,95,233,0,6,13
Media/news/publishing,4377561,27,1508006,242,235,66,424,0,5,13
Media/news/publishing,4377561,27,1508006,61,61,88,50,0,6,14
Media/news/publishing,4377561,27,1508006,23,23,288,38,1,5,16
Media/news/publishing,4377561,27,1508006,91,91,74,267,0,6,17
Media/news/publishing,4377561,27,1508006,34,34,270,148,1,5,17
Media/news/publishing,4377561,27,1508006,25,25,368,52,0,6,19
Media/news/publishing,4377561,27,1508006,309,309,51,74,0,6,20
Media/news/publishing,4377561,27,1508006,79,79,312,17,0,5,21
Media/news/publishing,4377561,27,1508006,64,64,69,119,0,7,22
Media/news/publishing,4377561,27,1508006,90,90,72,12,0,6,24
Media/news/publishing,4377561,27,1508006,20,20,308,153,1,6,24
Media/news/publishing,4377561,27,1508006,111,111,110,949,0,6,24
Media/news/publishing,4377561,27,1508006,68,68,120,57,1,6,26
Media/news/publishing,4377561,27,1508006,98,98,77,170,0,5,30
Media/news/publishing,4377561,27,1508006,205,205,377,922,1,6,33
Media/news/publishing,4377561,27,1508006,26,26,271,275,1,7,35
Media/news/publishing,4377561,27,1508006,267,267,95,17,0,6,47
Media/news/publishing,4377561,27,1508006,188,188,88,210,0,6,48
Media/news/publishing,4377561,27,1508006,191,191,68,512,0,6,54
Media/news/publishing,4377561,27,1508006,41,41,86,52,0,5,57
Media/news/publishing,4377561,27,1508006,100,100,46,8628,0,5,57
Media/news/publishing,4377561,27,1508006,1155,1028,233,602,0,5,59
Media/news/publishing,4377561,27,1508006,68,68,110,28,0,4,69
Media/news/publishing,4377561,27,1508006,1708,1656,54,719,0,5,80
Media/news/publishing,4377561,27,1508006,277,277,81,103,0,7,84
Media/news/publishing,4377561,27,1508006,193,193,58,1493,1,5,106
Media/news/publishing,4377561,27,1508006,0,0,57,217,1,5,107
Media/news/publishing,4377561,27,1508006,620,620,71,1064,0,5,138
Media/news/publishing,4377561,27,1508006,0,0,98,859,0,6,188
Media/news/publishing,4377561,27,1508006,147,147,329,3335,0,7,200
Media/news/publishing,4377561,27,1508006,0,0,54,409,0,6,256
Media/news/publishing,4377561,27,1508006,1390,1390,69,4411,1,6,385
Media/news/publishing,4377561,27,1508006,0,0,364,138,0,6,627
Media/news/publishing,4377561,27,1508006,0,0,237,6465,0,6,632
Professional sports team,4541886,83,65283,2,2,842,1,0,5,2
Professional sports team,4541886,83,65283,121,121,105,48,0,5,4
Professional sports team,4541886,83,65283,13,13,721,29,1,6,8
Professional sports team,4541886,83,65283,49,49,561,28,0,7,11
Professional sports team,4541886,83,65283,31,31,473,16,0,6,19
Entertainment website,4637394,33,37806,11,11,20,2,0,5,3
Entertainment website,4637394,33,37806,44,38,12,48,0,4,7
Professional sports team,4888698,75,17347,172,172,22,204,0,4,144
Professional sports team,4913787,60,158828,7,7,152,34,1,6,1
Professional sports team,4913787,60,158828,85,85,94,66,0,6,1
Professional sports team,4913787,60,158828,32,31,241,39,0,5,3
Professional sports team,4913787,60,158828,86,80,124,242,0,5,4
Professional sports team,4913787,60,158828,103,103,70,104,0,6,14
Professional sports team,4913787,60,158828,65,65,203,268,0,7,46
Professional sports team,4913787,60,158828,47,47,97,75,0,5,57
Professional sports team,4913787,60,158828,71,71,78,462,0,7,60
Professional sports team,4913787,60,158828,101,101,99,1542,0,7,102
Professional sports team,4955590,128,62043,33,28,112,57,0,4,2
Professional sports team,4955590,128,62043,42,41,241,32,0,5,2
Professional sports team,4955590,128,62043,93,78,181,533,0,4,6
Professional sports team,4955590,128,62043,115,115,120,889,0,5,8
Professional sports team,4975857,159,87422,65,65,89,1093,0,4,143
Public figure,5063996,1704,328136,1344,1344,42,598,1,6,180
Professional sports team,5136430,1,85177,44,44,425,272,0,5,6
Professional sports team,5136430,1,85177,0,0,539,370,0,7,81
Professional sports team,5200467,1,123640,73,73,171,92,0,6,17
Professional sports team,5200467,1,123640,60,60,131,256,0,6,69
Professional sports team,5365996,40729,102442,110,109,116,139,0,5,2
Professional sports team,5365996,40729,102442,51,51,111,26,0,6,3
Professional sports team,5365996,40729,102442,135,135,77,2,0,6,5
Professional sports team,5365996,40729,102442,23,23,112,23,0,6,11
Professional sports team,5365996,40729,102442,402,402,92,28,0,6,12
Professional sports team,5365996,40729,102442,89,89,122,42,1,5,12
Professional sports team,5365996,40729,102442,50,50,126,18,0,4,26
Professional sports team,5365996,40729,102442,0,0,124,17,0,7,43
Professional sports team,5365996,40729,102442,162,162,24,1582,0,6,72
Athlete,5753035,7,50942,11,11,68,15,1,4,4
Movie,5776505,8,140824,94,94,44,330,0,5,65
Professional sports team,5970921,53096,234501,53,53,246,118,0,6,4
Professional sports team,5970921,53096,234501,60,59,614,104,1,6,5
Professional sports team,5970921,53096,234501,64,64,504,26,0,4,16
Professional sports team,5970921,53096,234501,225,217,422,1818,1,5,27
Professional sports team,5970921,53096,234501,128,128,418,94,0,5,41
Professional sports team,5970921,53096,234501,119,119,321,2028,1,5,65
Professional sports team,5970921,53096,234501,36,36,230,1889,0,6,206
Political party,6141231,108622,290050,60,60,79,104,1,6,20
Political party,6141231,108622,290050,107,107,125,510,0,6,81
Political party,6141231,108622,290050,415,415,101,2174,0,6,96
Political party,6141231,108622,290050,2341,2077,153,8551,0,5,139
Actor/director,6395960,559,375858,2575,2304,45,6458,1,4,150
Media/news/publishing,6443491,4,709328,69,63,51,29,0,4,3
Media/news/publishing,6443491,4,709328,9,9,95,1,0,4,3
Media/news/publishing,6443491,4,709328,13,12,93,1,1,4,3
Media/news/publishing,6443491,4,709328,11,11,54,65,0,4,4
Media/news/publishing,6443491,4,709328,18,18,52,2,1,5,8
Media/news/publishing,6443491,4,709328,17,17,84,42,0,5,9
Media/news/publishing,6443491,4,709328,7,7,74,11,0,5,9
Media/news/publishing,6443491,4,709328,16,16,76,23,0,4,10
Media/news/publishing,6443491,4,709328,11,11,45,26,0,4,10
Media/news/publishing,6443491,4,709328,17,17,86,13,0,4,11
Media/news/publishing,6443491,4,709328,23,23,51,38,0,4,11
Media/news/publishing,6443491,4,709328,22,22,51,12,1,5,15
Media/news/publishing,6443491,4,709328,19,19,86,22,0,5,24
Media/news/publishing,6443491,4,709328,75,75,54,35,0,5,27
Media/news/publishing,6443491,4,709328,778,652,60,131,1,4,46
Media/news/publishing,6443491,4,709328,0,0,54,41,0,4,61
Media/news/publishing,6443491,4,709328,0,0,61,300,0,5,68
Media/news/publishing,6443491,4,709328,0,0,81,24,0,6,88
Media/news/publishing,6443491,4,709328,178,178,65,48,0,4,96
Media/news/publishing,6443491,4,709328,2858,2297,57,129,0,4,115
Media/news/publishing,6443491,4,709328,95,95,49,78,0,5,128
Media/news/publishing,6443491,4,709328,738,738,43,287,0,4,336
Media/news/publishing,6443491,4,709328,76,76,57,42,1,4,684
Professional sports team,6639220,49,185737,139,139,25,32,1,6,1
Professional sports team,6639220,49,185737,63,63,48,186,0,6,4
Professional sports team,6639220,49,185737,38,38,24,121,1,6,5
Professional sports team,6639220,49,185737,55,55,232,45,0,6,8
Professional sports team,6639220,49,185737,9,9,29,14,0,6,12
Professional sports team,6639220,49,185737,161,161,33,286,0,6,17
Professional sports team,6639220,49,185737,46,46,38,81,0,7,18
Professional sports team,6639220,49,185737,47,47,78,53,1,6,24
Professional sports team,6639220,49,185737,16,16,39,33,0,6,28
Professional sports team,6639220,49,185737,37,37,33,14,1,7,28
Professional sports team,6639220,49,185737,70,70,84,114,1,5,29
Professional sports team,6639220,49,185737,183,183,27,13,1,6,31
Professional sports team,6639220,49,185737,191,191,80,27,0,6,34
Professional sports team,6639220,49,185737,135,135,23,468,0,6,37
Professional sports team,7170111,70,497000,77,77,278,433,0,6,11
Professional sports team,7170111,70,497000,51,51,184,343,1,4,15
Professional sports team,7170111,70,497000,201,198,421,968,0,6,21
Professional sports team,7170111,70,497000,96,96,78,206,1,7,21
Professional sports team,7170111,70,497000,198,198,36,1902,0,6,29
Professional sports team,7170111,70,497000,588,588,173,2734,0,5,82
Professional sports team,7170111,70,497000,1387,1387,75,3392,0,7,247
Professional sports team,7170111,70,497000,0,0,175,673,0,7,1087
Food/beverages,7223388,12,101575,49,32,40,58,0,5,54
Professional sports team,7971262,6,325086,761,756,154,290,0,4,27
Professional sports team,7971262,6,325086,1015,999,177,276,0,5,45
Professional sports team,7971262,6,325086,2232,1974,268,560,1,4,143
Professional sports team,7971262,6,325086,621,621,288,694,0,6,240
Professional sports team,7971262,6,325086,827,827,259,926,0,6,260
Professional sports team,7971262,6,325086,1333,1333,217,1543,1,4,308
Professional sports team,8070687,421,278406,519,519,101,220,1,6,8
Professional sports team,8070687,421,278406,136,136,123,332,0,6,56
Professional sports team,8070687,421,278406,423,423,110,3437,0,7,130
Professional sports team,8070687,421,278406,317,317,119,2634,0,7,190
Tv channel,8078774,1,1226888,135,135,12,559,0,6,27
Tv channel,8078774,1,1226888,167,167,283,337,0,6,40
Tv channel,8078774,1,1226888,625,570,65,618,0,6,41
Tv channel,8078774,1,1226888,162,162,84,140,1,5,58
Tv channel,8078774,1,1226888,904,800,121,108,1,5,63
Tv channel,8078774,1,1226888,889,850,56,1129,1,5,98
Tv channel,8078774,1,1226888,98,98,0,3,0,4,122
Tv channel,8078774,1,1226888,471,471,68,1263,0,6,300
Tv channel,8078774,1,1226888,0,0,0,6,0,5,392
Telecommunication,8742023,2,210619,9,9,152,3,0,4,3
Telecommunication,8742023,2,210619,996,960,337,1101,1,4,3
Telecommunication,8742023,2,210619,16,16,249,16,0,4,3
Telecommunication,8742023,2,210619,38,37,163,19,0,5,5
Telecommunication,8742023,2,210619,24,24,157,22,1,6,5
Telecommunication,8742023,2,210619,25,25,249,17,0,5,15
Telecommunication,8742023,2,210619,5,5,233,32,0,6,33
Games/toys,9371667,15,213765,8,8,128,3,0,6,7
Athlete,9386285,3,178083,165,165,136,177,1,6,204
Product/service,9569070,2,45233,3,3,137,17,0,6,3
Sports event,9857010,1100558,22936,5,5,55,4,1,4,1
Sports event,9857010,1100558,22936,0,0,85,40,0,5,2
Sports event,9857010,1100558,22936,4,4,0,3,0,6,5
Sports event,9857010,1100558,22936,14,14,355,94,1,6,7
Professional sports team,10088233,17695,735009,82,82,253,20,0,6,5
Professional sports team,10088233,17695,735009,206,206,167,166,0,6,10
Professional sports team,10088233,17695,735009,33,33,119,3,0,6,11
Professional sports team,10088233,17695,735009,101,101,437,118,1,6,12
Professional sports team,10088233,17695,735009,0,0,433,187,0,6,191
Public figure,10394170,1,590124,959,959,141,1203,0,5,321
Media/news/publishing,10461783,938,1204131,53,50,116,14,0,4,1
Media/news/publishing,10461783,938,1204131,25,24,36,20,0,5,1
Media/news/publishing,10461783,938,1204131,31,30,80,31,0,4,1
Media/news/publishing,10461783,938,1204131,42,42,98,39,0,4,3
Media/news/publishing,10461783,938,1204131,56,53,54,27,0,4,5
Media/news/publishing,10461783,938,1204131,23,23,124,30,0,6,7
Media/news/publishing,10461783,938,1204131,34,34,65,28,0,4,8
Media/news/publishing,10461783,938,1204131,123,111,40,116,0,5,8
Media/news/publishing,10461783,938,1204131,120,118,80,48,1,4,10
Media/news/publishing,10461783,938,1204131,387,322,147,52,1,4,14
Media/news/publishing,10461783,938,1204131,238,238,47,365,0,4,16
Media/news/publishing,10461783,938,1204131,274,265,101,132,1,5,17
Media/news/publishing,10461783,938,1204131,34,34,79,45,0,6,22
Media/news/publishing,10461783,938,1204131,227,227,79,286,1,4,27
Media/news/publishing,10461783,938,1204131,1209,928,69,1173,0,4,28
Media/news/publishing,10461783,938,1204131,987,981,81,630,0,4,30
Media/news/publishing,10461783,938,1204131,224,207,70,103,0,4,32
Media/news/publishing,10461783,938,1204131,133,133,141,17,0,5,34
Media/news/publishing,10461783,938,1204131,757,707,186,419,0,4,35
Media/news/publishing,10461783,938,1204131,105,105,138,143,0,6,45
Media/news/publishing,10461783,938,1204131,65,65,140,67,0,5,46
Media/news/publishing,10461783,938,1204131,876,759,24,1716,0,5,60
Media/news/publishing,10461783,938,1204131,398,398,141,414,0,4,88
Media/news/publishing,10461783,938,1204131,114,114,68,118,0,6,180
Media/news/publishing,10461783,938,1204131,464,464,46,955,1,5,180
Media/news/publishing,10461783,938,1204131,600,600,150,528,0,6,477
Sports league,11759080,1048,130852,531,463,110,1092,1,4,55
Product/service,12721533,2636,37231,35,28,0,45,0,5,2
Product/service,12721533,2636,37231,5,5,0,2,0,5,3
Sports league,12962625,1,545695,70,70,151,2,0,4,1
Sports league,12962625,1,545695,54,54,119,13,0,5,1
Sports league,12962625,1,545695,211,210,86,36,1,4,2
Sports league,12962625,1,545695,186,168,59,117,0,4,2
Sports league,12962625,1,545695,91,85,62,16,0,4,2
Sports league,12962625,1,545695,37,37,87,1,0,6,3
Sports league,12962625,1,545695,137,135,129,40,0,4,4
Sports league,12962625,1,545695,246,244,109,30,0,5,4
Sports league,12962625,1,545695,299,276,111,137,0,5,6
Sports league,12962625,1,545695,91,91,81,39,0,4,10
Sports league,12962625,1,545695,185,185,66,78,0,5,10
Sports league,12962625,1,545695,85,85,59,49,1,4,10
Sports league,12962625,1,545695,625,569,62,260,0,4,15
Sports league,12962625,1,545695,65,65,99,13,0,5,20
Sports league,12962625,1,545695,37,37,87,53,0,6,21
Sports league,12962625,1,545695,111,111,49,36,1,4,22
Sports league,12962625,1,545695,0,0,103,2,1,6,27
Sports league,12962625,1,545695,225,216,0,336,0,5,30
Sports league,12962625,1,545695,134,131,100,52,0,4,32
Sports league,12962625,1,545695,0,0,106,17,0,6,33
Sports league,12962625,1,545695,51,51,69,41,0,6,41
Sports league,12962625,1,545695,294,294,110,12,0,4,65
Sports league,12962625,1,545695,56,56,98,32,0,5,75
Sports league,12962625,1,545695,84,84,83,51,1,6,86
Sports league,12962625,1,545695,425,425,216,469,0,4,93
Sports league,12962625,1,545695,336,336,117,62,0,5,107
Sports league,12962625,1,545695,762,762,98,259,0,4,131
Sports league,12962625,1,545695,185,185,173,246,0,4,136
Sports league,12962625,1,545695,499,499,139,1023,1,4,382
Professional sports team,13438255,59780,410493,35,32,137,60,1,5,1
Professional sports team,13438255,59780,410493,150,139,84,336,1,4,7
Professional sports team,13438255,59780,410493,14,14,265,52,0,6,7
Professional sports team,13438255,59780,410493,41,41,147,182,1,4,15
Professional sports team,13438255,59780,410493,5,5,276,72,0,4,16
Professional sports team,13438255,59780,410493,55,55,280,122,0,5,52
Professional sports team,13438255,59780,410493,0,0,75,505,0,6,153
Professional sports team,13438255,59780,410493,0,0,128,333,0,4,395
Entertainer,14913454,137,1346904,1039,1015,443,2514,0,4,100
Entertainer,14913454,137,1346904,0,0,98,2204,1,5,1338
Movie,17186326,1,77223,322,296,197,80,0,4,32
Company,17983668,1315,239638,10,10,0,12,1,4,2
Company,17983668,1315,239638,42,39,192,77,0,4,3
Company,17983668,1315,239638,31,29,292,63,0,5,5
Cars,18309696,5,156518,79,79,607,762,0,5,14
Telecommunication,18934990,3088,136995,53,53,66,692,0,4,1
Telecommunication,18934990,3088,136995,16,9,168,109,1,4,2
Telecommunication,18934990,3088,136995,134,134,61,3225,0,5,81
Company,19642638,4,217037,90,88,62,352,1,4,3
Company,19642638,4,217037,27,27,46,269,1,5,30
Company,19642638,4,217037,70,70,89,431,0,4,42
Musician/band,21000064,17,638088,811,687,201,224,0,4,30
Musician/band,21000064,17,638088,858,798,257,565,1,6,133
Musician/band,21000064,17,638088,729,729,282,642,0,7,312
Sports league,22199802,15192,948916,73,73,130,44,0,6,10
Sports league,22199802,15192,948916,19,19,211,30,0,4,12
Sports league,22199802,15192,948916,137,137,0,60,0,5,15
Sports league,22199802,15192,948916,955,945,0,727,0,4,19
Sports league,22199802,15192,948916,478,468,207,455,1,5,37
Sports league,22199802,15192,948916,997,956,101,2834,1,4,55
Sports league,22199802,15192,948916,577,577,0,553,0,4,84
Sports league,22199802,15192,948916,145,145,85,3,1,4,108
Sports league,22199802,15192,948916,205,205,90,676,0,4,113
Sports league,22199802,15192,948916,1691,1691,204,251,0,5,297
Sports league,22199802,15192,948916,286,286,121,276,1,5,386
Sports league,22199802,15192,948916,990,990,197,770,0,6,423
Sports league,22199802,15192,948916,805,805,110,1887,0,5,797
Sports league,22199802,15192,948916,806,806,33,4295,0,6,1486
Public figure,22899301,1,2454921,557,521,6,261,1,4,29
Public figure,22899301,1,2454921,1039,911,111,463,0,4,60
Public figure,22899301,1,2454921,1223,1223,139,171,0,4,103
Public figure,22899301,1,2454921,2148,2044,18,1262,0,4,172
Musician/band,23559795,2,1132174,2791,2673,118,472,0,5,64
Musician/band,23559795,2,1132174,1780,1742,272,575,0,5,99
Musician/band,23559795,2,1132174,611,611,80,189,0,6,233
Musician/band,23559795,2,1132174,355,355,127,850,0,6,261
Musician/band,23559795,2,1132174,211,211,204,607,0,7,443
Company,24871576,6,147196,16,15,114,28,0,4,1
Company,24871576,6,147196,54,48,282,156,0,5,2
Company,24871576,6,147196,12,12,70,13,0,5,4
Company,24871576,6,147196,19,19,225,48,0,5,10
Product/service,25569833,1,413345,35,26,100,94,0,4,1
Restaurant/cafe,27457026,1,36651,46,44,34,101,0,5,13
Tv network,28325843,1,571967,39,39,150,299,1,5,5
Tv network,28325843,1,571967,186,170,130,365,0,5,9
Tv network,28325843,1,571967,141,141,130,31,0,6,9
Tv network,28325843,1,571967,143,132,82,856,0,5,10
Tv network,28325843,1,571967,88,88,273,266,0,7,16
Tv network,28325843,1,571967,68,68,108,584,0,6,20
Tv network,28325843,1,571967,146,146,156,1468,0,6,27
Tv network,28325843,1,571967,453,451,79,200,0,6,42
Tv network,28325843,1,571967,102,102,215,652,0,4,46
Tv network,28325843,1,571967,70,70,188,2,0,7,48
Tv network,28325843,1,571967,493,484,62,692,0,6,53
Electronics,30252750,2,27681,273,265,150,21,0,4,10
App page,33326385,157,27408,191,182,325,37,0,5,3
App page,33326385,157,27408,100,97,353,122,0,5,5
App page,33326385,157,27408,341,339,186,130,1,5,8
App page,33326385,157,27408,101,101,215,99,0,6,124
Sports league,34770873,3,2225244,182,182,150,82,0,6,97
Sports league,34770873,3,2225244,406,406,174,975,0,6,315
Product/service,38846283,3,85980,35,35,112,62,0,4,25
Product/service,38846283,3,85980,30,30,0,3,0,5,39
Sports event,40920952,42563,752318,65,65,118,109,1,5,7
Sports event,40920952,42563,752318,384,384,212,136,1,5,60
Sports event,40920952,42563,752318,0,0,131,418,0,5,209
Sports event,40920952,42563,752318,90,90,116,885,1,4,449
Company,48997484,28,747324,3,3,225,22,0,6,3
Company,48997484,28,747324,14,12,128,167,0,5,3
Company,48997484,28,747324,88,86,112,326,0,4,9
Company,48997484,28,747324,87,80,53,900,1,5,10
Company,48997484,28,747324,66,66,66,690,0,7,13
Company,48997484,28,747324,1222,1154,62,17920,0,4,13
Company,48997484,28,747324,105,101,29,1825,0,4,15
Company,48997484,28,747324,52,52,180,474,1,5,16
Company,48997484,28,747324,838,783,98,2775,0,5,29
Company,48997484,28,747324,96,96,85,1047,0,6,76
Company,48997484,28,747324,0,0,46,418,0,7,79
Company,48997484,28,747324,233,233,24,2933,0,4,103
Company,48997484,28,747324,393,393,48,954,0,6,119
Company,48997484,28,747324,0,0,48,2469,0,5,154
Musician/band,49203410,5,2891667,1816,1713,12,730,0,4,99
Musician/band,49203410,5,2891667,983,983,0,411,0,7,251
